id,trip_duration
id3206885,124
id2931797,1278
id0759548,820
id1998257,981
id2645175,797
id3890228,249
id3045917,730
id0101486,650
id0864045,561
id0980013,632
id1588502,239
id2033331,733
id0982897,369
id0270338,709
id2142207,139
id1162501,819
id0126997,169
id0830076,2404
id0715579,1342
id1142148,134
id3743181,187
id3085705,1189
id3776498,542
id1972781,566
id1913332,698
id2015139,548
id1507103,128
id3277994,1158
id3017924,1411
id2802108,473
id2206684,379
id0589571,480
id3524447,1077
id1992751,412
id2445315,56
id0211095,1502
id1606371,1122
id0262455,365
id2541490,740
id0544707,873
id3311226,836
id0592289,306
id2789877,508
id2660083,437
id0763780,377
id3628536,93
id0946280,2760
id0787287,327
id0604287,543
id0499782,106
id2159283,755
id1524058,1128
id0882730,294
id1250437,332
id3027812,584
id1080933,433
id1995138,216
id0898269,434
id3018401,2390
id1967607,339
id0821294,722
id3692705,757
id0133108,741
id0994309,908
id1529591,362
id0294658,669
id3068805,1412
id3648789,145
id3980303,2776
id0681698,895
id3493262,537
id2801786,802
id3853981,1317
id3589543,418
id1346693,902
id2865758,1005
id2707212,777
id0948205,1265
id2518181,354
id1948847,356
id0099497,912
id0426278,615
id0354001,1064
id0390161,553
id3364223,3029
id0247575,801
id0741375,764
id3420759,782
id3491496,635
id2353106,461
id0770361,555
id0163613,744
id1445219,832
id0641097,1628
id3894212,1606
id3126596,491
id2851676,881
id3587686,1823
id1265193,892
id1296284,1754
id1824181,1537
id3510684,1905
id1788489,4235
id3429995,1208
id1640423,749
id2268726,1362
id2445332,423
id1021763,475
id2955787,207
id0886060,932
id1116648,443
id2659816,936
id2989044,1117
id2596881,1944
id2404635,902
id1457376,140
id3398032,522
id0703839,1556
id2289424,620
id2876923,1738
id3055274,951
id1796768,310
id0469723,271
id1423341,565
id2728352,958
id1336816,769
id0701947,419
id2527448,1237
id2746045,439
id0803281,317
id2959438,230
id0006158,502
id2418212,570
id1102268,1128
id0513985,801
id2381394,202
id0039424,278
id1184601,370
id2940014,1062
id0456308,402
id0824855,349
id1656136,166
id1538774,832
id1432017,657
id2241294,1074
id3546596,134
id1902630,331
id0810245,396
id1852781,550
id3228895,406
id0540768,511
id2000535,538
id0307985,1447
id2452952,160
id3021305,971
id1449111,865
id1222559,1094
id0808911,863
id0549158,866
id3364636,273
id3472939,377
id1344681,455
id3849281,1477
id1772093,442
id3979333,635
id1808460,669
id1407422,626
id3474401,348
id2571794,655
id2186775,725
id2881125,747
id3764384,1116
id1751980,287
id1361128,547
id0799272,408
id1120218,421
id3939013,552
id3610615,407
id1704166,1912
id3990983,799
id3435075,270
id3750546,1028
id1663793,2960
id2443638,397
id2567655,814
id1688727,1785
id0682533,656
id2114027,449
id0717849,498
id0874659,296
id3211775,429
id0634430,1026
id0309440,369
id2015596,662
id2331596,399
id1309465,260
id2434989,670
id2027446,861
id1507040,2356
id1601472,448
id1676551,307
id3649810,523
id2346897,447
id3314310,1255
id3382970,1391
id3930727,588
id2563122,1223
id1276749,884
id2988718,871
id0536835,1432
id3973859,1291
id1546960,2485
id1399009,146
id3333099,326
id1805806,311
id2417314,4322
id3262790,492
id1413115,969
id2590716,1945
id2986400,331
id2837268,839
id1534005,1634
id2980372,1041
id2003305,566
id0166889,527
id1866637,917
id1415976,688
id3753141,708
id0548726,848
id2417248,534
id0712721,175
id1842458,193
id2628167,1152
id1227234,1009
id0800266,562
id3778784,535
id0127344,399
id0364682,1381
id2284869,1294
id1023857,190
id3676070,608
id0611151,247
id2746359,911
id2370941,478
id0675695,555
id2074194,995
id0560202,1220
id2940430,286
id3669048,659
id3599462,336
id0053041,1449
id1554941,287
id2571278,241
id1397474,646
id1416154,325
id0589074,261
